index,id,x,y,w,h,r
0,-1,46,51,148.062916769573,2.855334650531,110.209187453692
1,-1,131,7,148.062916769573,2.855334650531,40.6967152383305
2,-1,50,6,148.062916769573,2.855334650531,40.6967152383305
3,-1,180,51,148.062916769573,2.855334650531,91.7671029883922
4,-1,1,177,148.062916769573,2.855334650531,250.652753766362
5,-1,95,203,148.062916769573,2.855334650531,186.814769078785
6,-1,956.75,993.75,148.062916769573,2.855334650531,318.746604099778
7,-1,145,1,148.062916769573,2.855334650531,318.746604099778
8,-1,252,3,148.062916769573,2.855334650531,42.1153371202766
9,-1,280,121,148.062916769573,2.855334650531,132.907137564831
10,-1,123,316,148.062916769573,2.855334650531,179.721659669054
11,-1,41,230,148.062916769573,2.855334650531,53.4643121758459
12,-1,263,207,148.062916769573,2.855334650531,53.4643121758459
13,-1,177,347,148.062916769573,2.855334650531,0
14,-1,2,349.5,148.062916769573,2.855334650531,267.676216349716
15,-1,32,458.5,148.062916769573,2.855334650531,267.676216349716
16,-1,202,436,148.062916769573,2.855334650531,105.953321807854
17,-1,127,594.75,148.062916769573,2.855334650531,155.605087675969
18,-1,3,565.75,148.062916769573,2.855334650531,264.838972585824
19,-1,217,529.75,105.59909854285,2.855334650531,118.720918745369
20,-1,215,438,105.59909854285,2.855334650531,271.932081995554
21,-1,267,269.75,105.59909854285,2.855334650531,22.2546307730304
22,-1,265,405,105.59909854285,2.855334650531,298.885897752531
23,-1,172,563.75,44.2624722153618,2.855334650531,323.002469745616
24,-1,47,609.75,44.2624722153618,2.855334650531,323.002469745616
25,-1,3,628.75,44.2624722153618,2.855334650531,323.002469745616
26,-1,293.25,283.75,44.2624722153618,2.855334650531,296.048653988639
27,-1,292,107,109.530933563843,2.855334650531,296.048653988639
28,-1,288,232,109.530933563843,2.855334650531,296.048653988639
29,-1,295,176,109.530933563843,2.855334650531,296.048653988639
30,-1,18,314.25,109.530933563843,2.855334650531,296.048653988639
31,-1,17,412.25,109.530933563843,2.855334650531,296.048653988639
32,-1,18,507.25,109.530933563843,2.855334650531,296.048653988639
33,-1,45,584.25,109.530933563843,2.855334650531,296.048653988639
34,1,339.75,93,177.944862929118,2.855334650531,35.0222277105458
35,1,514.75,93,177.944862929118,2.855334650531,35.0222277105458
36,1,693.75,93,1,125.528587305508,35.0222277105458
37,1,693.75,263,1,125.528587305508,35.0222277105458
38,1,693.75,388.75,170.867559891331,1,35.0222277105458
39,1,864.75,388.75,170.867559891331,1,35.0222277105458
40,1,695.75,339.5,184.235798962707,1,12.3242775994073
41,1,941.75,290.75,1,99.5784761669548,12.3242775994073
42,1,740.75,117.5,1,99.5784761669548,12.3242775994073
43,1,866.75,188.5,1,99.5784761669548,12.3242775994073
44,1,791.75,185.5,1,99.5784761669548,12.3242775994073
45,1,906.75,190.5,1,99.5784761669548,12.3242775994073
46,1,941.75,189.5,1,99.5784761669548,12.3242775994073
47,1,820.75,60,182.66306495431,1,0
48,-1,781.75,75,182.66306495431,1,162.6981970857
49,1,790.75,187,154.353852803161,1,162.6981970857
50,1,845.75,140,154.353852803161,1,162.6981970857
51,1,740.75,115,154.353852803161,1,162.6981970857
52,-1,999.75,100,53.6988762657446,1,87.5112373425537
53,1,993.75,60,1,35.8827488268708,87.5112373425537
54,1,260.75,133,1,35.8827488268708,87.5112373425537
55,1,260.75,167,1,35.8827488268708,87.5112373425537
56,1,260.75,192,1,35.8827488268708,87.5112373425537
57,-1,50,669.75,166.935724870338,74.4147320326006,128.651271918992
58,-1,67,758.75,166.935724870338,74.4147320326006,25.0918745369227
59,-1,180,868.75,166.935724870338,74.4147320326006,63.394665349469
60,-1,285,903.75,166.935724870338,74.4147320326006,331.514201037293
61,-1,312,800.75,166.935724870338,74.4147320326006,235.047913064954
62,-1,715.5,999.75,166.935724870338,74.4147320326006,271.932081995554
63,-1,108,619.75,166.935724870338,74.4147320326006,154.186465794023
64,-1,272,531.75,166.935724870338,74.4147320326006,237.885156828847
65,-1,326,669.75,166.935724870338,74.4147320326006,314.490738453939
